"","year","ccode","worldbank","country","iso2c","un","scode","wbregion","iso3c","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","bdeadbest","INGO_uia","domestic9","rt_code","nyt","amnesty.uas","region","muslim","nyt.lagged"
"83",1980,522,"DJI","Djibouti","DJ",262,"DJI","Eastern Africa","DJI",-8,-8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.380184502253,359247,2,2,1,4.95e-05,0,0,0,"DJI",0,NA,"Africa",94,NA
"84",1980,530,"ETH","Ethiopia","ET",231,"ETH","Eastern Africa","ETH",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35241209,4,5,250,0.0032919,NA,171,0,"ETH",0,NA,"Africa",47.5,NA
"85",1980,540,"AGO","Angola","AO",24,"ANG","Middle Africa","AGO",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.743894571209,7637141,3,3,47,0.001024,5882,45,0,"AGO",0,NA,"Africa",0,NA
"86",1980,541,"MOZ","Mozambique","MZ",508,"MZM","Eastern Africa","MOZ",-8,-8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,290.418033469741,397.474743746023,12142014,3,3,30,0.0009798,NA,59,3125,"MOZ",0,NA,"Africa",20,NA
"87",1980,551,"ZMB","Zambia","ZM",894,"ZAM","Eastern Africa","ZMB",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,664.33568477195,737.933209353044,5847241,3,3,15,0.00072,0,193,1875,"ZMB",0,NA,"Africa",1,NA
"88",1980,552,"ZWE","Zimbabwe","ZW",716,"ZIM","Eastern Africa","ZWE",4,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,916.285495445303,980.599895816599,7289069,3,2,94,0.001471,0,205,2812,"ZWE",0,NA,"Africa",1,NA
"89",1980,553,"MWI","Malawi","MW",454,"MAW","Eastern Africa","MWI",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,198.444289303974,338.037954286742,6236824,2,2,4,0.0003601,0,97,0,"MWI",0,NA,"Africa",20,NA
"90",1980,560,"ZAF","South Africa","ZA",710,"SAF","Southern Africa","ZAF",4,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,2920.78271269292,2769.99381500345,27576000,3,3,70,0.0075826,NA,576,6875,"ZAF",0,NA,"Africa",2,NA
"91",1980,570,"LSO","Lesotho","LS",426,"LES","Southern Africa","LSO",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,330.07625210896,268.525713637932,1307403,2,2,1,6.13e-05,0,51,0,"LSO",0,NA,"Africa",0,NA
"92",1980,571,"BWA","Botswana","BW",72,"BOT","Southern Africa","BWA",6,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,1063.5123265159,854.530665915497,997534,1,1,3,7.21e-05,0,45,0,"BWA",0,NA,"Africa",0,NA
